count,current_wait_state,method_name,next_wait_state
4494,AcquiringLocks,Write,ExecuteWrite
4,AddedToLeader,AlterSchema,Applying
2,AddedToLeader,BackfillDone,Applying
2,AddedToLeader,Truncate,Applying
4369,AddedToLeader,UpdateTransaction,Applying
25,AddedToLeader,UpdateTransaction,HandlingDone
22,AddedToLeader,UpdateTransaction,SubmittedUpdateTransactionToPreparer
4393,AddedToLeader,Write,Applying
33,AddedToLeader,Write,HandlingDone
10,AddedToLeader,Write,SubmittedWriteToPreparer
3,ApplyDone,AlterSchema,ResponseTransferred
2,ApplyDone,BackfillDone,ResponseTransferred
2,ApplyDone,Truncate,ResponseTransferred
4,ApplyDone,UpdateTransaction,HandlingDone
2151,ApplyDone,UpdateTransaction,ResponseTransferred
4,ApplyDone,Write,HandlingDone
1868,ApplyDone,Write,ResponseTransferred
4,Applying,AlterSchema,QueueingResponse
2,Applying,BackfillDone,QueueingResponse
2,Applying,Truncate,QueueingResponse
4,Applying,UpdateTransaction,HandlingDone
4486,Applying,UpdateTransaction,QueueingResponse
4,Applying,UpdateTransaction,SubmittedUpdateTransactionToPreparer
7,Applying,Write,HandlingDone
4484,Applying,Write,QueueingResponse
1,Applying,Write,SubmittedWriteToPreparer
19,BlockCacheLookupInCache,,CloseFile
43916,BlockCacheLookupInCache,,DoRead
67868,BlockCacheLookupInCache,Read,DoRead
11006,BlockCacheLookupInCache,Write,ConflictResolution
57,BlockCacheReadFromDisk,,CloseFile
10633,BlockCacheReadFromDisk,,DoRead
16366,BlockCacheReadFromDisk,Read,DoRead
19,CloseFile,,BlockCacheLookupInCache
57,CloseFile,,BlockCacheReadFromDisk
19,CloseFile,,DeleteFile
11006,ConflictResolution,Write,BlockCacheLookupInCache
4494,ConflictResolution,Write,SubmittingToRaft
17727,Created,,Handling
255,Created,ActiveUniverseHistory,Handling
4,Created,AlterSchema,Handling
2,Created,BackfillDone,Handling
2,Created,BackfillIndex,Handling
4,Created,CreateTablet,Handling
9,Created,GetDatabaseInfo,Handling
2,Created,GetSafeTime,Handling
9,Created,GetTServerUUID,Handling
92,Created,Heartbeat,Handling
1,Created,ListLiveTabletServers,Handling
365,Created,OpenTable,Handling
53755,Created,Perform,Handling
28655,Created,Read,Handling
11,Created,RunLeaderElection,Handling
2,Created,Truncate,Handling
4494,Created,UpdateTransaction,Handling
2,Created,WaitForYsqlBackendsCatalogVersion,Handling
4494,Created,Write,Handling
24,DeleteFile,,Unused
43916,DoRead,,BlockCacheLookupInCache
10633,DoRead,,BlockCacheReadFromDisk
17727,DoRead,,Handling
67868,DoRead,Read,BlockCacheLookupInCache
16366,DoRead,Read,BlockCacheReadFromDisk
28655,DoRead,Read,Handling
4494,ExecuteWrite,Write,ConflictResolution
53755,Flushing,Perform,LookingUpTablet
17727,GetSafeTime,,Handling
2,GetSafeTime,BackfillIndex,Handling
2,GetSafeTime,GetSafeTime,Handling
28655,GetSafeTime,Read,Handling
17727,Handling,,DoRead
17727,Handling,,GetSafeTime
17727,Handling,,HandlingDone
255,Handling,ActiveUniverseHistory,QueueingResponse
4,Handling,AlterSchema,SubmittedChangeMetadataToPreparer
2,Handling,BackfillDone,SubmittedChangeMetadataToPreparer
2,Handling,BackfillIndex,GetSafeTime
2,Handling,BackfillIndex,QueueingResponse
4,Handling,CreateTablet,QueueingResponse
9,Handling,GetDatabaseInfo,QueueingResponse
2,Handling,GetSafeTime,GetSafeTime
2,Handling,GetSafeTime,QueueingResponse
9,Handling,GetTServerUUID,QueueingResponse
92,Handling,Heartbeat,QueueingResponse
1,Handling,ListLiveTabletServers,QueueingResponse
365,Handling,OpenTable,QueueingResponse
53755,Handling,Perform,Flushing
28655,Handling,Read,DoRead
28655,Handling,Read,GetSafeTime
28655,Handling,Read,QueueingResponse
11,Handling,RunLeaderElection,QueueingResponse
1,Handling,Truncate,PrepareAndStart
2,Handling,Truncate,SubmittedTruncateToPreparer
2007,Handling,UpdateTransaction,PrepareAndStart
4452,Handling,UpdateTransaction,SubmittedUpdateTransactionToPreparer
2,Handling,WaitForYsqlBackendsCatalogVersion,QueueingResponse
4494,Handling,Write,AcquiringLocks
204,HandlingDone,ActiveUniverseHistory,ResponseTransferred
1,HandlingDone,AlterSchema,PrepareAndStart
2,HandlingDone,BackfillDone,PrepareAndStart
2,HandlingDone,BackfillIndex,ResponseTransferred
2,HandlingDone,CreateTablet,ResponseTransferred
8,HandlingDone,GetDatabaseInfo,ResponseTransferred
9,HandlingDone,GetTServerUUID,ResponseTransferred
47,HandlingDone,Heartbeat,ResponseTransferred
1,HandlingDone,ListLiveTabletServers,ResponseTransferred
181,HandlingDone,OpenTable,ResponseTransferred
53681,HandlingDone,Perform,QueueingResponse
1,HandlingDone,Perform,ResponseQueued
4,HandlingDone,Perform,ResponseTransferred
13658,HandlingDone,Read,ResponseTransferred
5,HandlingDone,RunLeaderElection,ResponseTransferred
1,HandlingDone,Truncate,PrepareAndStart
146,HandlingDone,UpdateTransaction,AddedToLeader
121,HandlingDone,UpdateTransaction,Applying
1733,HandlingDone,UpdateTransaction,PrepareAndStart
7,HandlingDone,UpdateTransaction,QueueingResponse
2,HandlingDone,UpdateTransaction,ResponseTransferred
2,HandlingDone,WaitForYsqlBackendsCatalogVersion,ResponseTransferred
457,HandlingDone,Write,AddedToLeader
