local_path,upstream_path,repository,commit
src/postgres,,https://github.com/yugabyte/postgres,cefdf543f78dd92ae34400f18d51718133fcde63
src/postgres/contrib/passwordcheck,passwordcheck_extra,https://github.com/michaelpq/pg_plugins,66a75ea0ca0706bef7b1e17055aa5fd364189fec
src/postgres/contrib/passwordcheck/expected/passwordcheck.out,contrib/passwordcheck/expected/passwordcheck.out,https://github.com/yugabyte/postgres,src/postgres
src/postgres/contrib/passwordcheck/sql/passwordcheck.sql,contrib/passwordcheck/sql/passwordcheck.sql,https://github.com/yugabyte/postgres,src/postgres
src/postgres/third-party-extensions/age,,https://github.com/apache/age,fa1af8de99d74d32e131c19b62cf580d396eb0ae
src/postgres/third-party-extensions/documentdb,,https://github.com/microsoft/documentdb,f31e0b6cadda66c3cc7f7087365e996c212cfffe
src/postgres/third-party-extensions/hypopg,,https://github.com/HypoPG/hypopg,97026c0bff16b905c555acdd82e15979fa6b9781
src/postgres/third-party-extensions/orafce,,https://github.com/orafce/orafce,6adbd66c429dabb828f10d764d356824efeb8396
src/postgres/third-party-extensions/pg_cron,,https://github.com/citusdata/pg_cron,TODO
src/postgres/third-party-extensions/pg_hint_plan,,https://github.com/ossc-db/pg_hint_plan,7a41e7ba94c8769895fefbb282f6943067adac2e
src/postgres/third-party-extensions/pg_parquet,,https://github.com/CrunchyData/pg_parquet,9092f65678b9fcfc59e8918c74ad25259034c089
src/postgres/third-party-extensions/pg_partman,,https://github.com/pgpartman/pg_partman,2330063ad29a65d169b1947ac35705a237774fb6
src/postgres/third-party-extensions/pg_stat_monitor,,https://github.com/percona/pg_stat_monitor,75f86f54b1d332a5effc27aac2ce97768c442856
src/postgres/third-party-extensions/pgaudit,,https://github.com/pgaudit/pgaudit,72da89c3fa02f3f2b9f3933214d91ad9c3428467
src/postgres/third-party-extensions/pgrx,,https://github.com/pgcentralfoundation/pgrx,b1868d81b3c09c25e5e30a904e89a40dc702c459
src/postgres/third-party-extensions/pgtap,,https://github.com/theory/pgtap,b941782fada240afdb7057065eb3261a21e8512c
src/postgres/third-party-extensions/pgvector,,https://github.com/pgvector/pgvector,2627c5ff775ae6d7aef0c430121ccf857842d2f2
src/postgres/third-party-extensions/postgresql-hll,,https://github.com/citusdata/postgresql-hll,c4ac698ddbb9dee1ff7ff52e077be1af1477721f
src/postgres/third-party-extensions/postgresql_anonymizer,,https://gitlab.com/dalibo/postgresql_anonymizer,ba2a748905287306349b1b4dd1e2131e2b77def5
src/postgres/third-party-extensions/wal2json,,https://github.com/eulerto/wal2json,75629c2e1e81a12350cc9d63782fc53252185d8d
