start_id,start_vertex_type,end_id,end_vertex_type
153,City,3,Country
154,City,3,Country
170,City,3,Country
180,City,3,Country
186,City,3,Country
191,City,3,Country
280,City,3,Country
219,City,3,Country
238,City,3,Country
242,City,3,Country
253,City,3,Country
258,City,3,Country
273,City,3,Country
155,City,3,Country
165,City,3,Country
176,City,3,Country
193,City,3,Country
194,City,3,Country
209,City,3,Country
236,City,3,Country
243,City,3,Country
246,City,3,Country
256,City,3,Country
272,City,3,Country
159,City,3,Country
168,City,3,Country
185,City,3,Country
197,City,3,Country
198,City,3,Country
203,City,3,Country
214,City,3,Country
250,City,3,Country
265,City,3,Country
269,City,3,Country
152,City,3,Country
157,City,3,Country
160,City,3,Country
174,City,3,Country
179,City,3,Country
196,City,3,Country
200,City,3,Country
201,City,3,Country
227,City,3,Country
234,City,3,Country
235,City,3,Country
241,City,3,Country
254,City,3,Country
158,City,3,Country
164,City,3,Country
172,City,3,Country
177,City,3,Country
183,City,3,Country
187,City,3,Country
204,City,3,Country
205,City,3,Country
220,City,3,Country
221,City,3,Country
225,City,3,Country
231,City,3,Country
240,City,3,Country
270,City,3,Country
156,City,3,Country
166,City,3,Country
173,City,3,Country
182,City,3,Country
192,City,3,Country
199,City,3,Country
212,City,3,Country
223,City,3,Country
226,City,3,Country
228,City,3,Country
230,City,3,Country
237,City,3,Country
245,City,3,Country
249,City,3,Country
275,City,3,Country
278,City,3,Country
151,City,3,Country
215,City,3,Country
217,City,3,Country
247,City,3,Country
251,City,3,Country
169,City,3,Country
171,City,3,Country
178,City,3,Country
218,City,3,Country
222,City,3,Country
224,City,3,Country
229,City,3,Country
232,City,3,Country
261,City,3,Country
252,City,3,Country
262,City,3,Country
267,City,3,Country
175,City,3,Country
181,City,3,Country
188,City,3,Country
202,City,3,Country
211,City,3,Country
239,City,3,Country
255,City,3,Country
257,City,3,Country
266,City,3,Country
274,City,3,Country
279,City,3,Country
163,City,3,Country
190,City,3,Country
207,City,3,Country
208,City,3,Country
213,City,3,Country
248,City,3,Country
259,City,3,Country
260,City,3,Country
268,City,3,Country
271,City,3,Country
277,City,3,Country
161,City,3,Country
162,City,3,Country
167,City,3,Country
184,City,3,Country
189,City,3,Country
195,City,3,Country
206,City,3,Country
210,City,3,Country
216,City,3,Country
233,City,3,Country
244,City,3,Country
263,City,3,Country
264,City,3,Country
276,City,3,Country
1,City,6,Country
3,City,6,Country
4,City,6,Country
5,City,6,Country
7,City,6,Country
10,City,6,Country
2,City,6,Country
9,City,6,Country
6,City,6,Country
8,City,6,Country
1657,City,15,Country
1671,City,15,Country
1673,City,15,Country
1734,City,15,Country
1737,City,15,Country
1743,City,15,Country
1765,City,15,Country
1787,City,15,Country
1798,City,15,Country
1811,City,15,Country
1839,City,15,Country
1840,City,15,Country
1843,City,15,Country
1859,City,15,Country
1868,City,15,Country
1888,City,15,Country
1902,City,15,Country
1924,City,15,Country
1925,City,15,Country
1926,City,15,Country
1934,City,15,Country
2005,City,15,Country
2014,City,15,Country
2064,City,15,Country
2104,City,15,Country
2111,City,15,Country
2141,City,15,Country
2142,City,15,Country
2197,City,15,Country
2198,City,15,Country
2203,City,15,Country
2222,City,15,Country
2228,City,15,Country
2259,City,15,Country
2263,City,15,Country
2278,City,15,Country
2290,City,15,Country
2330,City,15,Country
2332,City,15,Country
2351,City,15,Country
2362,City,15,Country
2370,City,15,Country
2377,City,15,Country
2381,City,15,Country
2390,City,15,Country
2418,City,15,Country
2442,City,15,Country
2454,City,15,Country
2456,City,15,Country
2460,City,15,Country
2467,City,15,Country
2469,City,15,Country
2509,City,15,Country
2487,City,15,Country
2504,City,15,Country
2523,City,15,Country
2524,City,15,Country
2568,City,15,Country
2606,City,15,Country
2608,City,15,Country
2611,City,15,Country
2614,City,15,Country
2622,City,15,Country
2631,City,15,Country
2654,City,15,Country
2661,City,15,Country
2662,City,15,Country
2664,City,15,Country
2666,City,15,Country
2669,City,15,Country
2705,City,15,Country
2718,City,15,Country
2722,City,15,Country
2745,City,15,Country
2748,City,15,Country
2730,City,15,Country
2759,City,15,Country
2760,City,15,Country
2776,City,15,Country
2787,City,15,Country
2790,City,15,Country
2792,City,15,Country
2795,City,15,Country
2811,City,15,Country
2813,City,15,Country
2814,City,15,Country
2816,City,15,Country
2819,City,15,Country
2834,City,15,Country
2848,City,15,Country
2859,City,15,Country
2871,City,15,Country
2873,City,15,Country
2884,City,15,Country
2896,City,15,Country
2898,City,15,Country
2899,City,15,Country
2905,City,15,Country
2921,City,15,Country
2922,City,15,Country
2924,City,15,Country
2968,City,15,Country
2972,City,15,Country
2975,City,15,Country
2985,City,15,Country
3005,City,15,Country
3013,City,15,Country
3027,City,15,Country
3034,City,15,Country
3035,City,15,Country
3036,City,15,Country
3109,City,15,Country
3111,City,15,Country
3070,City,15,Country
3098,City,15,Country
3129,City,15,Country
3156,City,15,Country
3190,City,15,Country
3197,City,15,Country
3198,City,15,Country
3204,City,15,Country
3213,City,15,Country
3216,City,15,Country
3220,City,15,Country
3221,City,15,Country
3240,City,15,Country
3253,City,15,Country
3297,City,15,Country
3305,City,15,Country
3309,City,15,Country
3353,City,15,Country
3357,City,15,Country
3362,City,15,Country
3424,City,15,Country
3449,City,15,Country
3451,City,15,Country
3456,City,15,Country
3492,City,15,Country
3509,City,15,Country
3516,City,15,Country
3530,City,15,Country
3535,City,15,Country
3536,City,15,Country
3550,City,15,Country
3568,City,15,Country
3605,City,15,Country
3615,City,15,Country
3630,City,15,Country
3652,City,15,Country
3654,City,15,Country
3666,City,15,Country
3737,City,15,Country
3756,City,15,Country
3757,City,15,Country
3758,City,15,Country
3767,City,15,Country
3791,City,15,Country
3809,City,15,Country
3810,City,15,Country
3823,City,15,Country
3826,City,15,Country
3838,City,15,Country
3859,City,15,Country
3850,City,15,Country
3866,City,15,Country
3887,City,15,Country
3890,City,15,Country
143783,City,15,Country
1646,City,15,Country
1668,City,15,Country
1679,City,15,Country
1681,City,15,Country
1706,City,15,Country
143785,City,15,Country
143786,City,15,Country
