OrdinalPosition,ErrorName
1,InternalError
2,BadValue
3,GraphContainsCycle
4,FailedToParse
5,TypeMismatch
6,Overflow
7,IllegalOperation
8,AlreadyInitialized
9,NamespaceNotFound
10,IndexNotFound
11,PathNotViable
12,RoleNotFound
13,CannotBackfillArray
14,ConflictingUpdateOperators
15,CursorNotFound
16,NamespaceExists
17,DollarPrefixedFieldName
18,CanNotBeTypeArray
19,NotSingleValueField
20,EmptyFieldName
21,DottedFieldName
22,ShardKeyNotFound
23,ImmutableField
24,CannotCreateIndex
25,IndexAlreadyExists
26,InvalidOptions
27,InvalidNamespace
28,IndexOptionsConflict
29,IndexKeySpecsConflict
30,NotExactValueField
31,CommandNotSupported
32,NamespaceNotSharded
33,ExceededMemoryLimit
34,DurationOverflow
35,ViewDepthLimitExceeded
36,CommandNotSupportedOnView
37,OptionNotSupportedOnView
38,AmbiguousIndexKeyPattern
39,InvalidIndexSpecificationOption
40,QueryFeatureNotAllowed
41,MaxSubPipelineDepthExceeded
42,ConversionFailure
43,OperationNotSupportedInTransaction
44,IndexBuildAborted
45,UnableToFindIndex
46,CollectionUUIDMismatch
47,Location10065
48,BsonObjectTooLarge
49,DuplicateKey
50,BackgroundOperationInProgressForNamespace
51,Location13026
52,Location13027
53,Location13068
54,MergeStageNoMatchingDocument
55,DbAlreadyExists
56,Location13548
57,Location15947
58,Location15952
59,Location15955
60,Location15957
61,Location15958
62,Location15959
63,Location15972
64,Location15976
65,Location15981
66,Location16004
67,Location16006
68,Location16007
69,Location16020
70,Location6045000
71,Location16034
72,Location16035
73,Location16410
74,Location16411
75,Location16433
76,DollarAddNumericOrDateTypes
77,DollarModByZeroProhibited
78,DollarModOnlyNumeric
79,DollarAddOnlyOneDate
80,Location16702
81,Location16747
82,Location16748
83,Location16749
84,Location16755
85,Location16764
86,HashedIndexDoNotSupportArrayValues
87,Location16800
88,Location16801
89,Location16804
90,Location16874
91,Location16875
92,Location16876
93,Location16878
94,Location16879
95,Location16880
96,Location16882
97,Location16883
98,Location16994
99,Location17040
100,Location17041
101,Location17042
102,Location17043
103,Location17044
104,Location17045
105,Location17046
106,Location17047
107,Location17048
108,Location17049
109,DollarCondMissingIfParameter
110,DollarCondMissingThenParameter
111,DollarCondMissingElseParameter
112,DollarCondBadParameter
113,DollarSizeRequiresArray
114,ExactlyOneTextIndex
115,Location17261
116,Location17276
117,Location17308
118,Location17310
119,DocumentAfterUpdateLargerThanMaxSize
120,DocumentToUpsertLargerThanMaxSize
121,Location18628
122,Location18629
123,Location18533
124,Location18534
125,Location18535
126,Location18536
127,Location18537
128,Location28625
129,Location28646
130,Location28647
131,Location28648
132,Location28650
133,Location28651
134,Location28656
135,Location28657
136,Location28664
137,Location51044
138,Location51045
139,Location50989
140,RangeArgumentExpressionArgsOutOfRange
141,DollarAbsCantTakeLongMinValue
142,ArrayOperatorElemAtFirstArgMustBeArray
143,DollarArrayElemAtSecondArgArgMustBeNumeric
144,DollarArrayElemAtSecondArgArgMustBe32Bit
