ErrorMapping,ErrorName
1,InternalError
2,BadValue
5,GraphContainsCycle
9,FailedToParse
14,TypeMismatch
15,Overflow
16,InvalidLength
20,IllegalOperation
23,AlreadyInitialized
26,NamespaceNotFound
27,IndexNotFound
28,PathNotViable
31,RoleNotFound
34,CannotBackfillArray
40,ConflictingUpdateOperators
43,CursorNotFound
48,NamespaceExists
52,DollarPrefixedFieldName
53,CanNotBeTypeArray
54,NotSingleValueField
55,Location55
56,EmptyFieldName
57,DottedFieldName
61,ShardKeyNotFound
66,ImmutableField
67,CannotCreateIndex
68,IndexAlreadyExists
72,InvalidOptions
73,InvalidNamespace
85,IndexOptionsConflict
86,IndexKeySpecsConflict
111,NotExactValueField
115,CommandNotSupported
118,NamespaceNotSharded
121,DocumentFailedValidation
146,ExceededMemoryLimit
159,DurationOverflow
165,ViewDepthLimitExceeded
166,CommandNotSupportedOnView
167,OptionNotSupportedOnView
181,AmbiguousIndexKeyPattern
197,InvalidIndexSpecificationOption
224,QueryFeatureNotAllowed
232,MaxSubPipelineDepthExceeded
241,ConversionFailure
263,OperationNotSupportedInTransaction
276,IndexBuildAborted
291,UnableToFindIndex
361,CollectionUUIDMismatch
8000,UserCountLimitExceeded
10065,Location10065
10334,BsonObjectTooLarge
11000,DuplicateKey
12587,BackgroundOperationInProgressForNamespace
13026,Location13026
13027,Location13027
13068,Location13068
13111,Location13111
13113,MergeStageNoMatchingDocument
13297,DbAlreadyExists
13548,Location13548
15947,Location15947
15952,Location15952
15955,Location15955
15957,Location15957
15958,Location15958
15959,Location15959
15972,Location15972
15976,Location15976
15981,Location15981
15998,Location15998
16004,Location16004
16006,Location16006
16007,Location16007
16020,Location16020
16034,Location16034
16035,Location16035
16410,Location16410
16411,Location16411
16433,Location16433
16554,DollarAddNumericOrDateTypes
16610,DollarModByZeroProhibited
16611,DollarModOnlyNumeric
16612,DollarAddOnlyOneDate
16702,Location16702
16747,Location16747
16748,Location16748
16749,Location16749
16755,Location16755
16764,Location16764
16766,HashedIndexDoNotSupportArrayValues
16800,Location16800
16801,Location16801
16804,Location16804
16874,Location16874
16875,Location16875
16876,Location16876
16878,Location16878
16879,Location16879
16880,Location16880
16882,Location16882
16883,Location16883
16990,Location16990
16994,Location16994
17040,Location17040
17041,Location17041
17042,Location17042
17043,Location17043
17044,Location17044
17045,Location17045
17046,Location17046
17047,Location17047
17048,Location17048
17049,Location17049
17053,Location17053
17080,DollarCondMissingIfParameter
17081,DollarCondMissingThenParameter
17082,DollarCondMissingElseParameter
17083,DollarCondBadParameter
17124,DollarSizeRequiresArray
17194,ExactlyOneTextIndex
17261,Location17261
17276,Location17276
17308,Location17308
17310,Location17310
17419,DocumentAfterUpdateLargerThanMaxSize
17420,DocumentToUpsertLargerThanMaxSize
18533,Location18533
18534,Location18534
18535,Location18535
18536,Location18536
18537,Location18537
18628,Location18628
18629,Location18629
28625,Location28625
28646,Location28646
28647,Location28647
28648,Location28648
28650,Location28650
28651,Location28651
28656,Location28656
28657,Location28657
28664,Location28664
