ErrorName,ErrorCode,ErrorOrdinal
InternalError,M0000,1
BadValue,M0001,2
GraphContainsCycle,M0002,3
FailedToParse,M0003,4
TypeMismatch,M0004,5
Overflow,M0005,6
IllegalOperation,M0006,7
AlreadyInitialized,M0007,8
NamespaceNotFound,M0008,9
IndexNotFound,M0009,10
PathNotViable,M000A,11
RoleNotFound,M000B,12
CannotBackfillArray,M000C,13
ConflictingUpdateOperators,M000D,14
CursorNotFound,M000E,15
NamespaceExists,M000F,16
DollarPrefixedFieldName,M000G,17
CanNotBeTypeArray,M000H,18
NotSingleValueField,M000I,19
EmptyFieldName,M000J,20
DottedFieldName,M000K,21
ShardKeyNotFound,M000L,22
ImmutableField,M000M,23
CannotCreateIndex,M000N,24
IndexAlreadyExists,M000O,25
InvalidOptions,M000P,26
InvalidNamespace,M000Q,27
IndexOptionsConflict,M000R,28
IndexKeySpecsConflict,M000S,29
NotExactValueField,M000T,30
CommandNotSupported,M000U,31
NamespaceNotSharded,M000V,32
ExceededMemoryLimit,M000W,33
DurationOverflow,M000X,34
ViewDepthLimitExceeded,M000Y,35
CommandNotSupportedOnView,M000Z,36
OptionNotSupportedOnView,M0010,37
AmbiguousIndexKeyPattern,M0011,38
InvalidIndexSpecificationOption,M0012,39
QueryFeatureNotAllowed,M0013,40
MaxSubPipelineDepthExceeded,M0014,41
ConversionFailure,M0015,42
OperationNotSupportedInTransaction,M0016,43
IndexBuildAborted,M0017,44
UnableToFindIndex,M0018,45
CollectionUUIDMismatch,M0019,46
Location10065,M001A,47
BsonObjectTooLarge,M001B,48
DuplicateKey,M001C,49
BackgroundOperationInProgressForNamespace,M001D,50
Location13026,M001E,51
Location13027,M001F,52
Location13068,M001G,53
MergeStageNoMatchingDocument,M001H,54
DbAlreadyExists,M001I,55
Location13548,M001J,56
Location15947,M001K,57
Location15952,M001L,58
Location15955,M001M,59
Location15957,M001N,60
Location15958,M001O,61
Location15959,M001P,62
Location15972,M001Q,63
Location15976,M001R,64
Location15981,M001S,65
Location16004,M001T,66
Location16006,M001U,67
Location16007,M001V,68
Location16020,M001W,69
Location6045000,M001X,70
Location16034,M001Y,71
Location16035,M001Z,72
Location16410,M0020,73
Location16411,M0021,74
Location16433,M0022,75
DollarAddNumericOrDateTypes,M0023,76
DollarModByZeroProhibited,M0024,77
DollarModOnlyNumeric,M0025,78
DollarAddOnlyOneDate,M0026,79
Location16702,M0027,80
Location16747,M0028,81
Location16748,M0029,82
Location16749,M002A,83
Location16755,M002B,84
Location16764,M002C,85
HashedIndexDoNotSupportArrayValues,M002D,86
Location16800,M002E,87
Location16801,M002F,88
Location16804,M002G,89
Location16874,M002H,90
Location16875,M002I,91
Location16876,M002J,92
Location16878,M002K,93
Location16879,M002L,94
Location16880,M002M,95
Location16882,M002N,96
Location16883,M002O,97
Location16994,M002P,98
Location17040,M002Q,99
Location17041,M002R,100
Location17042,M002S,101
Location17043,M002T,102
Location17044,M002U,103
Location17045,M002V,104
Location17046,M002W,105
Location17047,M002X,106
Location17048,M002Y,107
Location17049,M002Z,108
DollarCondMissingIfParameter,M0030,109
DollarCondMissingThenParameter,M0031,110
DollarCondMissingElseParameter,M0032,111
DollarCondBadParameter,M0033,112
DollarSizeRequiresArray,M0034,113
ExactlyOneTextIndex,M0035,114
Location17261,M0036,115
Location17276,M0037,116
Location17308,M0038,117
Location17310,M0039,118
DocumentAfterUpdateLargerThanMaxSize,M003A,119
DocumentToUpsertLargerThanMaxSize,M003B,120
Location18628,M003C,121
Location18629,M003D,122
Location18533,M003E,123
Location18534,M003F,124
Location18535,M003G,125
Location18536,M003H,126
Location18537,M003I,127
Location28625,M003J,128
Location28646,M003K,129
Location28647,M003L,130
Location28648,M003M,131
Location28650,M003N,132
Location28651,M003O,133
Location28656,M003P,134
Location28657,M003Q,135
Location28664,M003R,136
Location51044,M003S,137
Location51045,M003T,138
Location50989,M003U,139
RangeArgumentExpressionArgsOutOfRange,M003V,140
DollarAbsCantTakeLongMinValue,M003W,141
ArrayOperatorElemAtFirstArgMustBeArray,M003X,142
DollarArrayElemAtSecondArgArgMustBeNumeric,M003Y,143
DollarArrayElemAtSecondArgArgMustBe32Bit,M003Z,144
DollarSqrtGreaterOrEqualToZero,M0040,145
DollarSliceInvalidInput,M0041,146
DollarSliceInvalidTypeSecondArg,M0042,147
