id,name,state_id,state_code,country_id,country_code,latitude,longitude
153,Banaj,629,BR,3,AL,40.82492,19.84074
154,Bashkia Berat,629,BR,3,AL,40.69997,19.94983
170,Bashkia Kuçovë,629,BR,3,AL,40.82489,19.9535
180,Bashkia Poliçan,629,BR,3,AL,40.58608,20.04535
186,Bashkia Skrapar,629,BR,3,AL,40.56036,20.25477
191,Berat,629,BR,3,AL,40.70583,19.95222
280,Çorovodë,629,BR,3,AL,40.50417,20.22722
219,Kuçovë,629,BR,3,AL,40.80028,19.91667
238,Poliçan,629,BR,3,AL,40.61222,20.09806
242,Rrethi i Beratit,629,BR,3,AL,40.66667,20.0
253,Rrethi i Kuçovës,629,BR,3,AL,40.83333,19.91667
258,Rrethi i Skraparit,629,BR,3,AL,40.55,20.26667
273,Ura Vajgurore,629,BR,3,AL,40.76889,19.87778
155,Bashkia Bulqizë,610,09,3,AL,41.47152,20.33192
165,Bashkia Klos,610,09,3,AL,41.50826,20.07107
176,Bashkia Mat,610,09,3,AL,41.63317,20.01228
193,Bulqizë,610,09,3,AL,41.49167,20.22194
194,Burrel,610,09,3,AL,41.61028,20.00889
209,Klos,610,09,3,AL,41.50694,20.08667
236,Peshkopi,610,09,3,AL,41.685,20.42889
243,Rrethi i Bulqizës,610,09,3,AL,41.5,20.33333
246,Rrethi i Dibrës,610,09,3,AL,41.75,20.33333
256,Rrethi i Matit,610,09,3,AL,41.58333,20.08333
272,Ulëz,610,09,3,AL,41.68278,19.89333
159,Bashkia Durrës,639,DR,3,AL,41.42743,19.4869
168,Bashkia Krujë,639,DR,3,AL,41.50091,19.72571
185,Bashkia Shijak,639,DR,3,AL,41.33558,19.58977
197,Durrës,639,DR,3,AL,41.32355,19.45469
198,Durrës District,639,DR,3,AL,41.3166,19.45
203,Fushë-Krujë,639,DR,3,AL,41.47833,19.71778
214,Krujë,639,DR,3,AL,41.50917,19.79278
250,Rrethi i Krujës,639,DR,3,AL,41.55,19.75
265,Shijak,639,DR,3,AL,41.34556,19.56722
269,Sukth,639,DR,3,AL,41.38056,19.53778
152,Ballsh,631,04,3,AL,40.59889,19.73472
157,Bashkia Divjakë,631,04,3,AL,40.95716,19.52364
160,Bashkia Fier,631,04,3,AL,40.72937,19.4869
174,Bashkia Mallakastër,631,04,3,AL,40.55669,19.77347
179,Bashkia Patos,631,04,3,AL,40.67793,19.65591
196,Divjakë,631,04,3,AL,40.99667,19.52944
200,Fier,631,04,3,AL,40.72389,19.55611
201,Fier-Çifçi,631,04,3,AL,40.71667,19.56667
227,Lushnjë,631,04,3,AL,40.94194,19.705
234,Patos,631,04,3,AL,40.68333,19.61944
235,Patos Fshat,631,04,3,AL,40.64278,19.65083
241,Roskovec,631,04,3,AL,40.7375,19.70222
254,Rrethi i Mallakastrës,631,04,3,AL,40.55,19.78333
158,Bashkia Dropull,621,GJ,3,AL,39.98584,20.30529
164,Bashkia Kelcyrë,621,GJ,3,AL,40.36196,20.16476
172,Bashkia Libohovë,621,GJ,3,AL,40.10754,20.25753
177,Bashkia Memaliaj,621,GJ,3,AL,40.41524,19.96911
183,Bashkia Përmet,621,GJ,3,AL,40.23246,20.41091
187,Bashkia Tepelenë,621,GJ,3,AL,40.26736,19.97003
204,Gjinkar,621,GJ,3,AL,40.19944,20.40611
205,Gjirokastër,621,GJ,3,AL,40.07583,20.13889
220,Këlcyrë,621,GJ,3,AL,40.31306,20.18944
221,Lazarat,621,GJ,3,AL,40.04667,20.1475
225,Libohovë,621,GJ,3,AL,40.03111,20.26306
231,Memaliaj,621,GJ,3,AL,40.35167,19.98028
240,Përmet,621,GJ,3,AL,40.23361,20.35167
270,Tepelenë,621,GJ,3,AL,40.29583,20.01917
156,Bashkia Devoll,630,06,3,AL,40.60078,20.93814
166,Bashkia Kolonjë,630,06,3,AL,40.3142,20.61482
173,Bashkia Maliq,630,06,3,AL,40.75508,20.60748
182,Bashkia Pustec,630,06,3,AL,40.83591,20.89405
192,Bilisht,630,06,3,AL,40.6275,20.99
199,Ersekë,630,06,3,AL,40.33778,20.67889
212,Korçë,630,06,3,AL,40.61861,20.78083
223,Leskovik,630,06,3,AL,40.15139,20.59722
226,Libonik,630,06,3,AL,40.70444,20.70861
228,Maliq,630,06,3,AL,40.70583,20.69972
230,Mborje,630,06,3,AL,40.60333,20.80306
237,Pogradec,630,06,3,AL,40.9025,20.6525
245,Rrethi i Devollit,630,06,3,AL,40.58333,20.91667
249,Rrethi i Kolonjës,630,06,3,AL,40.25,20.66667
275,Velçan,630,06,3,AL,40.95472,20.46222
278,Voskopojë,630,06,3,AL,40.63306,20.58889
151,Bajram Curri,623,KU,3,AL,42.35734,20.07679
215,Krumë,623,KU,3,AL,42.19694,20.41333
217,Kukës,623,KU,3,AL,42.07694,20.42194
247,Rrethi i Hasit,623,KU,3,AL,42.16667,20.33333
251,Rrethi i Kukësit,623,KU,3,AL,42.0,20.33333
169,Bashkia Kurbin,609,08,3,AL,41.62215,19.70734
171,Bashkia Lezhë,609,08,3,AL,41.8132,19.64121
178,Bashkia Mirditë,609,08,3,AL,41.80953,19.99024
218,Kurbnesh,609,08,3,AL,41.77972,20.08361
222,Laç,609,08,3,AL,41.63556,19.71306
224,Lezhë,609,08,3,AL,41.78361,19.64361
229,Mamurras,609,08,3,AL,41.5775,19.69222
232,Milot,609,08,3,AL,41.68389,19.71556
261,Rrëshen,609,08,3,AL,41.7675,19.87556
252,Rrethi i Kurbinit,609,08,3,AL,41.63333,19.71667
262,Rubik,609,08,3,AL,41.77444,19.78611
267,Shëngjin,609,08,3,AL,41.81361,19.59389
175,Bashkia Malësi e Madhe,626,SH,3,AL,42.36798,19.58977
181,Bashkia Pukë,626,SH,3,AL,42.02997,19.92778
188,Bashkia Vau i Dejës,626,SH,3,AL,42.04834,19.69999
202,Fushë-Arrëz,626,SH,3,AL,42.06222,20.01667
211,Koplik,626,SH,3,AL,42.21361,19.43639
239,Pukë,626,SH,3,AL,42.04444,19.89972
255,Rrethi i Malësia e Madhe,626,SH,3,AL,42.33333,19.58333
257,Rrethi i Shkodrës,626,SH,3,AL,42.06917,19.53506
266,Shkodër,626,SH,3,AL,42.06828,19.51258
274,Vau i Dejës,626,SH,3,AL,42.01,19.62472
279,Vukatanë,626,SH,3,AL,42.02806,19.54778
163,Bashkia Kavajë,633,TR,3,AL,41.18127,19.55579
190,Bashkia Vorë,633,TR,3,AL,41.39804,19.67703
207,Kamëz,633,TR,3,AL,41.38167,19.76028
208,Kavajë,633,TR,3,AL,41.18556,19.55694
213,Krrabë,633,TR,3,AL,41.21556,19.97139
248,Rrethi i Kavajës,633,TR,3,AL,41.16667,19.58333
259,Rrethi i Tiranës,633,TR,3,AL,41.33333,19.91667
260,Rrogozhinë,633,TR,3,AL,41.07639,19.66528
268,Sinaballaj,633,TR,3,AL,41.06889,19.69944
271,Tirana,633,TR,3,AL,41.3275,19.81889
277,Vorë,633,TR,3,AL,41.39083,19.655
161,Bashkia Finiq,634,12,3,AL,39.84393,20.16659
162,Bashkia Himarë,634,12,3,AL,40.11581,19.81389
167,Bashkia Konispol,634,12,3,AL,39.70064,20.13353
184,Bashkia Selenicë,634,12,3,AL,40.39503,19.65958
189,Bashkia Vlorë,634,12,3,AL,40.4134,19.49792
195,Delvinë,634,12,3,AL,39.95111,20.09778
206,Himarë,634,12,3,AL,40.10167,19.74472
210,Konispol,634,12,3,AL,39.65889,20.18139
216,Ksamil,634,12,3,AL,39.76889,19.99972
233,Orikum,634,12,3,AL,40.32528,19.47139
244,Rrethi i Delvinës,634,12,3,AL,39.91667,20.08333
263,Sarandë,634,12,3,AL,39.87534,20.00477
264,Selenicë,634,12,3,AL,40.53056,19.63583
276,Vlorë,634,12,3,AL,40.4686,19.48318
1,Andorra la Vella,488,07,6,AD,42.50779,1.52109
3,Canillo,489,02,6,AD,42.5676,1.59756
4,El Tarter,489,02,6,AD,42.57952,1.65362
5,Encamp,487,03,6,AD,42.53474,1.58014
7,Pas de la Casa,487,03,6,AD,42.54277,1.73361
10,les Escaldes,492,08,6,AD,42.50729,1.53414
2,Arinsal,493,04,6,AD,42.57205,1.48453
9,la Massana,493,04,6,AD,42.54499,1.51483
6,Ordino,491,05,6,AD,42.55623,1.53319
8,Sant Julià de Lòria,490,06,6,AD,42.46372,1.49129
1657,Andau,2062,1,15,AT,47.77441,17.03293
1671,Antau,2062,1,15,AT,47.77377,16.47984
1673,Apetlon,2062,1,15,AT,47.74394,16.8302
1734,Bad Sauerbrunn,2062,1,15,AT,47.77439,16.32841
1737,Bad Tatzmannsdorf,2062,1,15,AT,47.33126,16.23067
1743,Badersdorf,2062,1,15,AT,47.2,16.36667
1765,Bernstein,2062,1,15,AT,47.4,16.25
1787,Bocksdorf,2062,1,15,AT,47.14256,16.17784
1798,Breitenbrunn,2062,1,15,AT,47.94452,16.73149
1811,Bruckneudorf,2062,1,15,AT,48.01667,16.78333
1839,Deutsch Jahrndorf,2062,1,15,AT,48.01667,17.1
1840,Deutsch Kaltenbrunn,2062,1,15,AT,47.09455,16.13145
1843,Deutschkreutz,2062,1,15,AT,47.6,16.63333
1859,Donnerskirchen,2062,1,15,AT,47.89425,16.64635
1868,Drassburg,2062,1,15,AT,47.74645,16.48679
1888,Eberau,2062,1,15,AT,47.10764,16.46044
1902,Edelstal,2062,1,15,AT,48.1,16.98333
1924,Eisenstadt,2062,1,15,AT,47.84565,16.52327
1925,Eisenstadt Stadt,2062,1,15,AT,47.8445,16.52575
1926,Eisenstadt-Umgebung,2062,1,15,AT,47.83333,16.58333
1934,Eltendorf,2062,1,15,AT,47.0087,16.20239
2005,Forchtenstein,2062,1,15,AT,47.71161,16.34525
2014,Frauenkirchen,2062,1,15,AT,47.83678,16.92581
2064,Gattendorf,2062,1,15,AT,48.01667,16.98333
2104,Gols,2062,1,15,AT,47.89689,16.91113
2111,Grafenschachen,2062,1,15,AT,47.36667,16.06667
2141,Grosshöflein,2062,1,15,AT,47.83586,16.48035
2142,Grosspetersdorf,2062,1,15,AT,47.23895,16.31783
2197,Güssing,2062,1,15,AT,47.05936,16.32431
2198,Güttenbach,2062,1,15,AT,47.1571,16.2923
2203,Hackerberg,2062,1,15,AT,47.2,16.11667
2222,Halbturn,2062,1,15,AT,47.87019,16.97542
2228,Hannersdorf,2062,1,15,AT,47.22895,16.3825
2259,Heiligenbrunn,2062,1,15,AT,47.02705,16.41688
2263,Heiligenkreuz im Lafnitztal,2062,1,15,AT,46.98917,16.26083
2278,Heugraben,2062,1,15,AT,47.11783,16.19041
2290,Hirm,2062,1,15,AT,47.78652,16.4546
2330,Horitschon,2062,1,15,AT,47.58729,16.54696
2332,Hornstein,2062,1,15,AT,47.88049,16.44447
2351,Illmitz,2062,1,15,AT,47.76148,16.80024
2362,Inzenhof,2062,1,15,AT,47.01667,16.31667
2370,Jabing,2062,1,15,AT,47.2388,16.27659
2377,Jennersdorf,2062,1,15,AT,46.93848,16.14158
2381,Jois,2062,1,15,AT,47.96165,16.79604
2390,Kaisersdorf,2062,1,15,AT,47.53741,16.39198
2418,Kemeten,2062,1,15,AT,47.24859,16.15213
2442,Kittsee,2062,1,15,AT,48.0925,17.06389
2454,Kleinhöflein im Burgenland,2062,1,15,AT,47.84151,16.50413
2456,Kleinmürbisch,2062,1,15,AT,47.03299,16.32448
2460,Klingenbach,2062,1,15,AT,47.75202,16.54069
2467,Kobersdorf,2062,1,15,AT,47.59572,16.39173
2469,Kohfidisch,2062,1,15,AT,47.17472,16.35701
2509,Königsdorf,2062,1,15,AT,47.0,16.16667
2487,Krensdorf,2062,1,15,AT,47.78552,16.41495
2504,Kukmirn,2062,1,15,AT,47.07544,16.21033
2523,Lackenbach,2062,1,15,AT,47.59042,16.46533
2524,Lackendorf,2062,1,15,AT,47.58996,16.50404
2568,Leithaprodersdorf,2062,1,15,AT,47.93348,16.47915
