cardinality,raw_value,multiset
0,0,\x138B48
1.0002442201269182,4096,\x138B480002
2.000977198748901,6143,\x138B480002FFE2
3.0021994137521975,2050,\x138B4800020041FFE2
4.003911343725148,2051,\x138B48000200410061FFE2
5.006113467958146,2052,\x138B480002004100610081FFE2
6.008806266444944,2053,\x138B48000200410061008100A1FFE2
7.011990219885757,2054,\x138B48000200410061008100A100C1FFE2
8.015665809687173,2055,\x138B48000200410061008100A100C100E1FFE2
9.019833517963864,2056,\x138B48000200410061008100A100C100E10101FFE2
10.024493827539368,2057,\x138B48000200410061008100A100C100E101010121FFE2
11.029647221949576,2058,\x138B48000200410061008100A100C100E1010101210141FFE2
12.03529418544122,2059,\x138B48000200410061008100A100C100E10101012101410161FFE2
13.041435202975777,2060,\x138B48000200410061008100A100C100E101010121014101610181FFE2
14.048070760229278,2061,\x138B48000200410061008100A100C100E10101012101410161018101A1FFE2
15.05520134359392,2062,\x138B48000200410061008100A100C100E10101012101410161018101A101C1FFE2
16.062827440181,2063,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E1FFE2
17.070949537820233,2064,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E10201FFE2
18.079568125061755,2065,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E102010221FFE2
19.088683691179465,2066,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E1020102210241FFE2
20.098296726168925,2067,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E10201022102410261FFE2
21.108407720752034,2068,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E102010221024102610281FFE2
22.119017166376235,2069,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E10201022102410261028102A1FFE2
23.130125555218253,2070,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E10201022102410261028102A102C1FFE2
24.14173338018237,2071,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E10201022102410261028102A102C102E1FFE2
25.153841134905022,2072,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E10201022102410261028102A102C102E10301FFE2
26.166449313754402,2073,\x138B48000200410061008100A100C100E10101012101410161018101A101C101E10201022102410261028102A102C102E103010321FFE2
