cardinality,multiset,union_cardinality,union_multiset
0,\x118B48,0,\x118B48
0,\x118B48,0,\x118B48
0,\x118B48,0,\x118B48
5302.985854985846,\x148B48290241144420C211084249064208412808611423194A720C231888218CA10888108C82108211882409403104C42886610CA410D0119D030944131402108430008420C4610CC218880080450882200841204A62084918441284624844628802114C119822090C610CA20844318C81394A42A48208483094881042620423118A21902418CA61102308C43380051102410822104C30804628806104621146520C44190411102200C8328023114E33848441421100821082208803308620104010CC210C01288C11104108C2300845408A21884018CE418483088810006321823190A1204431942009867120A8008A520822090422A08600CA108422108A6110881084120C2000083108851142108043204230106528C8300481185430846100861010631044400C400802021C61080C12084108C62084C120442080850982320820110450884210C641044239821108021044110862104632102418443090411086341024184241000209024280032944108C422086A20C8018C4409C2628480104C420041108821002010844100630046318C4308422100A328CC20082018822184A03906209061094421A421090440904718882308220902300C261882008C27010A82184219CE120421104A11146200C4311022100421186118445104641848620C8200C4228C4018C62100430844618460188491948318C40218600092019442184A21842120824088030104328C632044121C210882611080110451006230C230948A288432040319401108812842410021190231904020861084820840220C8120CC00086110C6210C64110420104100C4418C4110C4610CA219043108400882208441084433080310821284231042018421084421A0E21086308821084A20A00020C0420861104411004711403098892886021482080653084308C6229420110422086008C613042641061090030882511041188E30844A0884608C23088802080601422308420906111806184240044201424104A71046028C2010CE408C81104221088208425180E2104240202130844210270842010CC118C63308413084518C22088663084220C8138446110E1090430844210462114612106A08CA2190A410C220042510C434006710C66088C72A88328C62310A218C4228484198271882308C64110A010885108020806208422200C208842104C0004832910200829308621948218CA1188660908318C6418462308630910618C01080231900320C6100CA4300C229063104A11090130443184A219C63304A018C4320C251182211C642106418C61190011086220403110A3288432082208C02188031880108842110231040120822188441000710C24214211088220825084812906318004080820804610C2510820318200886210821184220046430C2120C631880510468010233844111084108440982320844184221106208881110C331484190452082318883110A708C23198241884410864108811084008C441040120447100241840220C611886128C8210823204E0100A4304620004328C6528027284E22844420CC510048108411848110C4318C4220C422086308CA30882419062108432806341082110A410CA40884318C61284C4090C220885188C13048500460184430884620484184C2188861044220C6218C802048828C21108441148008C4409085308E3280C328821090221042728882084030108201041088C30004411063208A11A0C501062100C20884418C2308C21208A008842184222806211045110251840140422,5302.985854985846,\x148B48290241144420C211084249064208412808611423194A720C231888218CA10888108C82108211882409403104C42886610CA410D0119D030944131402108430008420C4610CC218880080450882200841204A62084918441284624844628802114C119822090C610CA20844318C81394A42A48208483094881042620423118A21902418CA61102308C43380051102410822104C30804628806104621146520C44190411102200C8328023114E33848441421100821082208803308620104010CC210C01288C11104108C2300845408A21884018CE418483088810006321823190A1204431942009867120A8008A520822090422A08600CA108422108A6110881084120C2000083108851142108043204230106528C8300481185430846100861010631044400C400802021C61080C12084108C62084C120442080850982320820110450884210C641044239821108021044110862104632102418443090411086341024184241000209024280032944108C422086A20C8018C4409C2628480104C420041108821002010844100630046318C4308422100A328CC20082018822184A03906209061094421A421090440904718882308220902300C261882008C27010A82184219CE120421104A11146200C4311022100421186118445104641848620C8200C4228C4018C62100430844618460188491948318C40218600092019442184A21842120824088030104328C632044121C210882611080110451006230C230948A288432040319401108812842410021190231904020861084820840220C8120CC00086110C6210C64110420104100C4418C4110C4610CA219043108400882208441084433080310821284231042018421084421A0E21086308821084A20A00020C0420861104411004711403098892886021482080653084308C6229420110422086008C613042641061090030882511041188E30844A0884608C23088802080601422308420906111806184240044201424104A71046028C2010CE408C81104221088208425180E2104240202130844210270842010CC118C63308413084518C22088663084220C8138446110E1090430844210462114612106A08CA2190A410C220042510C434006710C66088C72A88328C62310A218C4228484198271882308C64110A010885108020806208422200C208842104C0004832910200829308621948218CA1188660908318C6418462308630910618C01080231900320C6100CA4300C229063104A11090130443184A219C63304A018C4320C251182211C642106418C61190011086220403110A3288432082208C02188031880108842110231040120822188441000710C24214211088220825084812906318004080820804610C2510820318200886210821184220046430C2120C631880510468010233844111084108440982320844184221106208881110C331484190452082318883110A708C23198241884410864108811084008C441040120447100241840220C611886128C8210823204E0100A4304620004328C6528027284E22844420CC510048108411848110C4318C4220C422086308CA30882419062108432806341082110A410CA40884318C61284C4090C220885188C13048500460184430884620484184C2188861044220C6218C802048828C21108441148008C4409085308E3280C328821090221042728882084030108201041088C30004411063208A11A0C501062100C20884418C2308C21208A008842184222806211045110251840140422
163.344215041927,\x138B480361054205610921096109C10A020A620BA10E61132313E114811581162217A11BC11F21240125C125E129612B612C012DE22FA32FC1310131C1356235A1362136E137423A833D013E223F43400642E1430346C348A148C14C034CC24D41500250635342554455C25601570257625B845BA15DE15EC1614364026503654165E369616A616BA16EC370E173417421744174C276837703772177617A447B017BE17CE17DE27F6182E2836183C1872387E188028C818CA28E21906290C191E19261940194819543978197C39CA19DE29EE3A101A2E2A762A8E1AA81ACE2AE22B443B569B9E1BB41BD01BFC2C001C021C122C962CC01CC41CCC1CD43CEE1CF22D882D8A1DCE1DDA1DE41DEC1DFA3E103E261E4C2E9A3E9C3EA83EAC5EBA1EDC1EE41EF22EF86F001F0E2F2A1F382F3A5F501F5C3F783F981FA82FAC1,5479.238425899318,\x148B48290241144420C211084249064208412808611423194A720C231888218CA10888108C82108211882409403104C42886610CA410D0219D030944131402108430008420C4610CC218881080450882200841204A62084918441284624844628802114C119822090C610CA20844318C81394A42A48208483094881042620423118A21902418CA61102308C43380251102410822104C30804628806104621146520C44190411102200C8328023114E33848441421100821082208803308620104110CC210C01288C11104108C2300845408A21884018CE418483088810006321823190A1204431942209867120A8008A520C22090422A08608CA108422108A6110881084120C2000083108851142208443204230106528C8300481185430846100861010631044418C400802021C61080C12084108C62084C120842080850986320820310450884210C641044239821108021844110862104632102418443090411086341064184241000209024284232944108C422086A20C8018C4409C2628480104C420041108821002010844100630046318C4308422100A328CC20082018822184A03906209061094421A481090440904718882308220902300C261882008C27010A82184219CE120421204A11146200C4311022100421186118445104641848620C8200C4228C6018C62100430844618460188491948318C40218600092319442184A21842120824088030104328C632044121C210882611080110451006230C230948A288432040319461108812842410021190231904020861084820840220C8120CC00086110C6210C64110420104118C4418C4110C4610CA219043108400882208481084433080310821284231042118421084421A0E21086308821084A20A00020C0420861104411004711403098892886021482080653084308C62294201104220C6008C613042641061090030882511041188E30844A0884608C23088802080601422308420906111806184240044201424104A71046128C2110CE408C81104221088208425180E2104240202130844210270846010CC118C63308413084518C22088663084220C8138446110E1090430844210462114632106A08CA2190A410C220842510C434006710C66088C72A88328C62310A218C4228484198271882308C64110A010885108020806208422200C208842104C0004832910200829308621948218CA1188660908318C6418462308630910618C01080231900320C6100CA4300C229063104A91090130443184A219C63304A018C4320C251182211C642106418C61190211086220403110A3288432082208C02188031880108842110231040120822188441000710C24214211088220825084812906318004080820804610C2510820318200886210822184220046430C2120C631880510468010233846111084108440982320844184221106208881110C331484190452082318883110A708C23198241884410864108811084008C441040120447104241840220C611886128C8210823204E0100A4304620004328C6528027284E22844420CC510048108411848110C4318C4220C422086308CA30882419062108432806341082110A410CA40884318C61284C4090C220C85188C1304A500460184430884620484184C2188861044220C6218C803048828C21108441148008C4409085308E3280C329421090221042728882084630108201041088C31804411063208A11A0C509062100C21084418C2308C21208A008842184222806211045110251840140422
169.85269509588414,\x138B4801E3048104A308A1096109A10B010C420D010DA10E020F010FE311C1134316C119421C631CC31D041F412044224224A126E2292129A32B432C632F8331443182324136E2372137E138E13F013F81406441E2438244014464462147E14C024D024F414FC1502150A250E1518252C253C15421564257C15801586358E25AE15BC15C4161A165416621668166E26722674169C26A056AAD6B816D626E82714171E3730175837823790179847B617E827F2185C185E3864487C4886188E28AE18B818F4292A2958295E196C39823994199C19EA19F02A081A181A1E2A225A481A641A9E1AB62ABC1ADE1AE81AEC1AF25B046B322B602B723B782B8A2C2E1C403C7C1CC02CCC1CDC2D123D546D6E1D762DA81DAA4DC04DCE1DDA1DEE2DF43E4C3E5E1E6C4E9A1E9C3EC63EEE2EFC3F143F162F3A3F401F528F864F982FB81FD61FDE3FE83FEA2FF81,5595.1598563728085,\x148B48290241144420C211084349064208412808611423194A720C231888218CA10888108C82108211882409403104C42886610CA410D0219D030944131402108430008420C4610CC218881080450882200843204A62084918441284624844628802114C119822090C610CA20844318C81394A42A48208483094881042620423118A21902418CA61102308C43380251102410862204C30804628806104621146520C44190811102200C8328023114E33848441421100821082208803308620104110CC210C02288C11104108C2300845408A218C4018CE418483088810006321823190A1204431942209867120A8008A520C22090422A08608CA110422108A6110881084120C2000083108851142208443204230106528C8300481185430846100861010631044418C400802021C61080C12084108C62084C120842080850986320820310450884210C641044239821108021844110862104642102418443090411086341064184241000209024284232944108C422086A20C8018C4409C2628480104C420041108821002010844100630046318C4308822100A328CC20082018842184A03906209061094421A481090440904718882308220902308C261882208C27010A82184219CE120421204A11146200C4311022100421186118445104641848620C8200C4228C6018C62100430844618460188491948318C40218600092319442184A21882120824088030104328C632044129C210B42611080110451006230C230948A288432040319461108812842410021190231904020863084820840220C8120CC00086110C6210C64190420104118C4418C4110C4610CA219043108402082208481084433080310821284231042118421084421A0E21086308821084A20A00020C0420861104411004711403098892886021482080653084308C63294801104220C6008C813042641062090030882511041188E30844A0884608C23088802080601422308420906111846184240044201424104A71046128C2110CE408C81104221088208425180E2104240202130864210270846010CC118C63308413084518C22088663084220C8138446110E1090430844210462114632106A08CA2190A410C220842510C434146710C66088C72A88328C62310A218C4228484198271882308C64110A010885108020806208422200C208842104C2004832910200829308621948218CA1188660948318C64184C2308630910618C01080231900320C6100CA4300C229063104A91090130443184A219C63304A018C4320C251182211C642106418C61190211086220403110A3288432082208C02188031880108842110231040120822188441000710C24214211088220825084812906318004080820804610C2510820318200886210822184220046430C2120C631880510468010233846111084108440982320844184221106208881110C331484190452082318883110A708C2319824188C410864108811084108C441040120447104241840220C61188612908210823204E0200A4304620004328C6528027284E22846420CC510048108411848110C4318C4220C422086308CA30882419062108432806341082110A410CA40884318C61284C4090C220C85188C1304A500460184430884620484184C2188861044220C6218C803048828C21108441148208C4409085308E3280C32942109022104272A082084630108201041088C31804411064208A11A0C511062100C21084418C2308C21208A008842184222806311045190251840140422
5375.866654029349,\x148B48114C2104820006131023008402106510C8018461014022082408C420106322062090242046330CA110C272908110C241180218C610842310CC410480010C2188813882238C8428C4638C42310A70004308C64104A1180401842408C81088631006120466190420906508C2108C8120C6210C820904408442200A510C211044318CA0088A7090401046109821004C21880310C4138863204640882329422104631902610C8411CA10844320C0110425190211308008C42208442904429062088851142018941080241146240C82088E100D6B19464214A108C211084C10C231088410D0210C4110C6100C45090642084110821008C1200412888618864104A3104A10840448C4128C201042310865110821844120C461808110C64304050082119C252102018864190012180611062204420902408842088A13084218403208222042308CC3114E4088A321C2240862008410900820C2510C810802100C420002110C8C0984408406110242188409024084840902210445408C21086100C031904108CA210845184822080608C8329023024651084220C413902010461188430844300C6208822108401846310425090005086208844200E20048320C632900308881091030104409021204611882210CA210C2218C252902211463080445102420C8208C231082100C8220C4150C4220C411808621C2210824110441046428442188A231466198623046130463108420848218CA310C264886418C48688601084120442100A22906310C0510C22184C400483088620844100C2218082084632104120C60094641884120C621904208462100651840308863084430086228C83310A210441110490A0A111030110411082230C63204C228824218412088A10CE4108E31084408040008411082208C0A1846129883108470802401882108A2190C1084211082408CE1284E818C8311C441806418CA508463208811106108C841146410C02090622042039042390221084230C6321064080211044210C61288430100500880208262182310C83190432042300061118821002410421204063108410061110230886420842094C208C4602402008202086008022408653902100CA528443118C5108231006010C81104E0204410884229044408C5088E1108630902111082184831044310827090851908508C253110419C2318C040A862188E410423004A2088641084211042284401002138504008632080322442198A4204230884220428298450844408865108401148140CA0208E208C40198A52142510462090451302610CA118420208822146118C422148118C6300420084611040410C43090610106008481180C110CA321460304C238842110A1008A318482108831006210423104A418C6110824104C118C02210C228862108612186220408290E408843208A3090611086418C4108C2418443108611086218803200221844210C6000C24380A308C461844410CC34004210842204231202040821208462902318C2110C6520C221084500C402086419008118A2208C1080221144208460208C2080210882309081008A408DA118041108A308C841146210064210630086208863098641202420884090440944019C631104120CA2214092880108101280A3190431044718444388203146318C42188A21900119041080633842210CA24082410860284421888310C6218C62198811048001C451046119024190441104018484284430A8030886110C8000C2209082180432088508C2130C620900510C211986408421,10695.495012141075,\x148B48294C41148420C6131043490642106528C8619463194A720C2418C82190A322082090842086330CA411427290C428C66118A418D0219D03114C431482110C31888438C4638CC428C8638C45310A70084320CA6208A9184412846448C8628863114C121866190C6110A508C4318C81394A42A4820908409488204A620C23118A3190A418CA71104310C6339825110C41886320CC33886628866108632946520C64190861108411CA328443214E338485414211308210C4220844310642906210CC51142228941110441146340C85408E218D6B194E4214A308C811086C21823190A420D031944211867120A8090A520C42110422A0C620CA128886188A6110A8108A120C2448C8328C851142310865210831906528C861848118D44304650086119C652104418C641902121C66110C22084209064088C2208A23088519863208223104508CC3114E4108A339C2240862188411106820C65210841844309042108634108C198441040611024298842944408C842106A20C8540CC411C6628C83190C420CA210885184822084610C83290631A4651084220CA3390C21086118843184A33906209062114421A48311045090475088230844210E308C8620C6329027090A82190319CE421021204A11946210CA31102218C452986219465104645108620C8208C4328C6118C8220C4350C4620C611888921C8318C44218641092429442188A23146621864308633106328C632048229CA31342649084190486886230C432148A288A3290631946510C82284C410483190631904120C6318482084632108120CC00946418C6220C64190420906218C6518C4310C6610CA31906328C83310A21048111049320A311030290431082230C63204C22A0E4218632088A10CE4120E320C442086110841108471140A198892988321487080653188310CA3294C11104220C6408CE1304E84108311C4418865190A5188E32088A1106608C841148420C06094623084239062398461884430C6321464104A71046228C6128CE40908510882208862182518CE3190442202330864218871046410CC120C663108430865190230886630842214C238C46124E2090432086210462414653906A08CA5290A4118C51082510C634148710CE6208C72A88329064410C518CE228884198271908318C84110A310887110851908508C253110419C4318CC40A8832910410829308A21948418CA2190662948318C6438504308632110622442198A42102320C6220CA8318C529064108A9109013148340CA221CE330CA0198A5214251186211C652306618CA1190212088221463190A32948320C6308C22188631880410C43110631106120882188C410CA721464314C238882210A5088A32908318884100821044610CA518C6131824108C218C22210C22886430C612186320808290E809043388A311084108641984320C44184431106210882190C3314841904520C6318C84390A708C461984418CC44086410882208431204440821208472902418C2220C6520C622908510C43208E4210A8318A2208C328C6529447284E2288C420CC51084811081188A410DA318C4220CA320C84114A31086421063108632886341884120A420CA4090441946129CC4110C220CA5214C9308A508501284A31904620487184C4388863146320C6218CA23108829041108643948210CA441085308E3284C3294831106218C672A0821048301C8511061190C41904411064208A42A0C512863108C210C8418C2309082208A32088518C2230C6311045190251986440422
5772.478477525995,\x148B4818C81314851A46210443104630944228442088232808508C44108862884408CA23002208841188433202118886090E201880088E310824208404202528C64190211902318D81198A30186110C61318611084210820214223248509061098A420C6330C6210C6318865188A22804110CC219462184641888111424188C1308A238428304E410402088823102419041120461940210C4000921104830044121083088650A0C00084309824488A010C61108441906318C2210845190640908220462094411902318446190631182008463204A220CA330444108463886418C60104E31882610842308692886219862184240904138C6200CE5208802146230C24108031844438C4018C4211883208483884210021288C3110641884410C420844118C43104C228841084420906411443118241084708C2249002184C22104518C261046020C4229060190A31108330C451910220423088861886210440414C428C22090650886320461088074846330805280C420C011806141884004C02088338C2018502188811844318861104421AC2220861208450A04520CA428C8208864010431098310C430A043208C11044110C24084831088418882108E1210E0188A128885084230002418842194032AC432884401CA3180C2010C41084310CA3104831942701446108450886218881088021080408C43314210146610407110A51042418CC40044128423088400092009C6220CC108CC300C830888310C65104800884118C2209061009032982221441110221008318CE718868184C4108832882620C27120421940518462114A110C8119C6108441188670884610CA12104119C221004310824294421108418C20084820944210481080872044118CC4205201884120841190211082510C611846231443020211048331C44210631908110C6010CA528064108A128C440848120C0210C2420024088471006518C4210442108A519421098611082208401290C328C811202108C23008C408C2110CA20888240823084631046100C220A06208C0210846110031006211823114630806330824204623880510C830880109444188A311863110461888319065014852884210C4420CC1308A4108220884629442114421888118862088421104320C4100C4320CE620022110421888119043184431046408844090431082018C4128C6209424414440086300CC5208A22084200463084402044118428008620846118C23210231104209482084A3188822102211C651086100C23184010108438C43110220084011C44000A808444088420084108C8339022400481880238426114631046310C821956208842198230A4030944330C42384413082218062014641046312C40090832046218443218C200C432084231843088401184110C612946430C652084A284441082510CC211C4308822108650AC422946319063088411286320443188024148828C6208C63090A720C4108CA219465108A321886084661802328484298850044418401105032840328C64100C518881004432080219062084C31082218801084631844408CC708422108E40946619C2508C8210C611846110C2028484108410888220800080811142208440310A51086518445010612888218822310A20846120C402900020C431848328423008472084609C4108C450848610040188420906508C4520861084E5084831084020CA1104A619CC218CA3014412084120880088621884328820488A2190621146210501188A1108441880119841084600A02201042,16782.87001210863,\x148B48294C4314852246231043490642146528C8619463294A720C4418C86290A4220A2310842086330CA432027290C6290E6118A418D0319D04214C442085290C4190843904638D84298A639865310A73186320CA6208A9214423248549086298A4214C331866190C6190A518CA328C81394C42A4821908419488214A620CC3318A3390A830CE71104310C8339825190C41A066214C338C662892610883294652108419086120C411CA329844494E338C85414441B08318C4220845310642908220CC51144229143190461946341885408E320D6B214E4314A410C863886C21863190E420D0619442318692A0A8198A520C44110423A0C620CE528886214A6310A8108A320C4448C8328C851188320868390831906528CC61908418D4430C650886119C65210C428C641904221C66114C3218441106708CC2490A2308C52186520C263106520CC3294E4190A339C8340C65191022106820C862108418443414C428C634108C198642046611027498843144528CC42106A20C85418C411CC628C83390C420D0218885184832086610C832AC632246520845220A5390C428C8218864190A3391831106312043224C311045110475088330884210E310CE6210E3290A7290A82190319CE421042214A32AC6328CA411CA318CC5298C41946510CA451086214870944628C6518C8220C8350C4620C6418C8931C831946621867111252944418CC43146629864308633112329C6320CC229CC31348649084190686888230C432148A290A3291032986521482290C410483190E71906820CC4188832886621087220C21946518C62214A41908219C6218C6518C6710C6610CA32106329C83310A31088429449320A419030290831144230C83204C72A0E4218C42092A18CE4220E3210442086510C61188673144A1A0892988331C87210653188310CA3294C52906420CA428CE4304E84108311C4420865190A7188E520C8A1106610CA519484218661146230842390C3398861A04430C63214C410CA710CA228C8240CE4090851088220C862206518CE3190462202330864218871146410CC330C663108438865190830886631444214C339866124E6190832106511485414653906A20CC5310A4118C510846294634148718CE6208C72A88329064410C518CE328CE6218271908318C84190A3188871108519085090453110419C4328CC40A884415041086930CC5214A420CA2190662948320C6438508308632110622443218A4210432148220CA8318C52906411CA9109013148340CA221CE438CA3198A52144511C6411CA82306618CA21904120C8339463410A82948338C66114631886318C8419563110631986322483194C430CA739464314C238882214A5108A32AC83190842048218446218C518C6331844318C318C42218C228C6431464318652084A290E81104538CC311C84108641986522C442946319063108821A8C331484190454148828C84390A7090A72184418CC441465108A3218861206640823288872988518C4420C6520D032908528C64208E5210A8318A3208C329065294C7288E2288C420CC518848110C7188A410DA41946621CA520C84114A31886421063288842886341884220A420CA4114441946131CC5110C520CA5214C9308A518902310A31906620C87290C438C863148328C6318CA73108829C4110C653948610CA441085310E528CC529483110E518C872A08220CA311CA619CC2190C41944421064208A42A0C51A863288C248CA4190631148220903208A518C4430C6319845190651A06441042
0,\x118B48,16782.87001210863,\x148B48294C4314852246231043490642146528C8619463294A720C4418C86290A4220A2310842086330CA432027290C6290E6118A418D0319D04214C442085290C4190843904638D84298A639865310A73186320CA6208A9214423248549086298A4214C331866190C6190A518CA328C81394C42A4821908419488214A620CC3318A3390A830CE71104310C8339825190C41A066214C338C662892610883294652108419086120C411CA329844494E338C85414441B08318C4220845310642908220CC51144229143190461946341885408E320D6B214E4314A410C863886C21863190E420D0619442318692A0A8198A520C44110423A0C620CE528886214A6310A8108A320C4448C8328C851188320868390831906528CC61908418D4430C650886119C65210C428C641904221C66114C3218441106708CC2490A2308C52186520C263106520CC3294E4190A339C8340C65191022106820C862108418443414C428C634108C198642046611027498843144528CC42106A20C85418C411CC628C83390C420D0218885184832086610C832AC632246520845220A5390C428C8218864190A3391831106312043224C311045110475088330884210E310CE6210E3290A7290A82190319CE421042214A32AC6328CA411CA318CC5298C41946510CA451086214870944628C6518C8220C8350C4620C6418C8931C831946621867111252944418CC43146629864308633112329C6320CC229CC31348649084190686888230C432148A290A3291032986521482290C410483190E71906820CC4188832886621087220C21946518C62214A41908219C6218C6518C6710C6610CA32106329C83310A31088429449320A419030290831144230C83204C72A0E4218C42092A18CE4220E3210442086510C61188673144A1A0892988331C87210653188310CA3294C52906420CA428CE4304E84108311C4420865190A7188E520C8A1106610CA519484218661146230842390C3398861A04430C63214C410CA710CA228C8240CE4090851088220C862206518CE3190462202330864218871146410CC330C663108438865190830886631444214C339866124E6190832106511485414653906A20CC5310A4118C510846294634148718CE6208C72A88329064410C518CE328CE6218271908318C84190A3188871108519085090453110419C4328CC40A884415041086930CC5214A420CA2190662948320C6438508308632110622443218A4210432148220CA8318C52906411CA9109013148340CA221CE438CA3198A52144511C6411CA82306618CA21904120C8339463410A82948338C66114631886318C8419563110631986322483194C430CA739464314C238882214A5108A32AC83190842048218446218C518C6331844318C318C42218C228C6431464318652084A290E81104538CC311C84108641986522C442946319063108821A8C331484190454148828C84390A7090A72184418CC441465108A3218861206640823288872988518C4420C6520D032908528C64208E5210A8318A3208C329065294C7288E2288C420CC518848110C7188A410DA41946621CA520C84114A31886421063288842886341884220A420CA4114441946131CC5110C520CA5214C9308A518902310A31906620C87290C438C863148328C6318CA73108829C4110C653948610CA441085310E528CC529483110E518C872A08220CA311CA619CC2190C41944421064208A42A0C51A863288C248CA4190631148220903208A518C4430C6319845190651A06441042
7,\x128B489104FFE234CD7D41C42CC85288FADD20CC5231CEE8EE0E1DD4074F4FB3808D41DB532E9E55E851BCF53ACEEF7DC701E8532B9B26BB4301DC,16809.109562140733,\x148B48294C4314852246231043490642146528C8619463294A720C4418C86290A4220A2310842086330CA432027290C6290E6118A418D0319D04214C442085290C4190843904638D84298A639865310A73186320CA6208A9214423248549086298A4214C331866190C6190A518CA328C81394C42A4821908419488214A620CC3318A3390A830CE71104310C8339825190C41A066214C338C662892610883294652108419086120C411CA329844494E338C85414441B08318C4220845310642908220CC51144229143190461946341885408E320D6B214E4314A410C863886C21863190E420D0619442318692A0A8198A520C44110423A0C620CE528886214A6310A8108A320C4448C8328C851188320868390831906528CC61908418D4430C650886119C65210C428C641904231C66114C3218443106708CC2490A2308C52186520C263106520CC3294E4190A339C8340C65191022106820C862108418443414C428C634108C198642046611027498843144528CC42106A20C85418C411CC628C83390C420D0218885184832086610C832AC632246520845220A5390C428C8218864190A3391831106312043224C311045110475088330884210E310CE6210E3290A7290A82190319CE421042214A32AC6328CA411CA318CC5298C41946510CA451086214870944628C6518C8220C8350C4620C6418C8931C831946621867111252944418CC43146629864308633112329C6320CC229CC31348649084190686888230C432148A290A3291032986521482290C410483190E71906820CC4188832886621087220C21946518C62214A41908219C6218C6518C6710C6610CA32106329C83310A31088429449320A419030290831144230C83204C72A0E4218C42092A18CE4220E3210442086510C61188673144A1A0892988331C87210653188310CA3294C52906420CA428CE4304E84108311C4420865190A7188E520C8A1106610CA519484218661146230842390C3398861A04430C63214C410CA710CA228C8240CE4090851088220C862206518CE3190462202330864218871146410CC330C663108438865190830886631444214C339866124E6190832106511485414653906A20CC5310A4118C510846294634148718CE6208C72A88329064410C518CE328CE6218271908318C84190A3188871108519085090453110419C4328CC40A884415041086930CC5214A420CA2190662948320C6438508308632110622443218A4210432148220CA8318C52906411CA9109013148340CA221CE438CA3198A52144511C6411CA82306618CA21904120C8339463410A82948338C66114631886318C8419563110631986322483194C430CA739464314C238882214A5108A32AC83190842048218446218C518C6331844318C318C42218C228C6431464318652084A290E81104538CC311C84108641986522C442946319063108821A8C331484190454148828C84390A7090A72184418CC441465108A3218861206640823288872988518C4420C6520D032908528C64208E5210A8318A3208C329065294C7288E2288C420CC518848110C7188A410DA41946621CA520C84114A31886421063288842886341884220A420CA4114441946131CC5110C520CA5214C9308A518902310A31906620C87290C438C863148328C6318CA73108829C4110C653948610CA441085310E528CC529483110E518C872A08220CA311CA619CC2190C41944421064208A42A0C51A863288C248CA4190631148220903208A518C4430C6319845190651A06441042
