cardinality,multiset,union_cardinality,union_multiset
0,\x118B48,0,\x118B48
1,\x128B48BB1AD57319B89CD8,1,\x128B48BB1AD57319B89CD8
1,\x128B48BB1AD57319B89CD8,1,\x128B48BB1AD57319B89CD8
1,\x128B4868FB0E6F684DF992,2,\x128B48BB1AD57319B89CD868FB0E6F684DF992
1,\x128B4868FB0E6F684DF992,2,\x128B48BB1AD57319B89CD868FB0E6F684DF992
1,\x128B48352CCCFC0946B8F0,3,\x128B48BB1AD57319B89CD8352CCCFC0946B8F068FB0E6F684DF992
1,\x128B48352CCCFC0946B8F0,3,\x128B48BB1AD57319B89CD8352CCCFC0946B8F068FB0E6F684DF992
1,\x128B48552CF1E4A8AB85DD,4,\x128B48BB1AD57319B89CD8352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48552CF1E4A8AB85DD,4,\x128B48BB1AD57319B89CD8352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F7BED9D4B5F30868,5,\x128B48BB1AD57319B89CD8F7BED9D4B5F30868352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F7BED9D4B5F30868,5,\x128B48BB1AD57319B89CD8F7BED9D4B5F30868352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B480190E5722719B812,6,\x128B48BB1AD57319B89CD8F7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B480190E5722719B812,6,\x128B48BB1AD57319B89CD8F7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F6B55BBA28DA1B7E,7,\x128B48BB1AD57319B89CD8F6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F6B55BBA28DA1B7E,7,\x128B48BB1AD57319B89CD8F6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F09B04B38DD7AEE4,8,\x128B48BB1AD57319B89CD8F09B04B38DD7AEE4F6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F09B04B38DD7AEE4,8,\x128B48BB1AD57319B89CD8F09B04B38DD7AEE4F6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F27B5DB0E9340CFC,9,\x128B48BB1AD57319B89CD8F09B04B38DD7AEE4F27B5DB0E9340CFCF6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
