cardinality,multiset,union_cardinality,union_multiset
0,\x118B48,0,\x118B48
1,\x128B48BB1AD57319B89CD8,1,\x128B48BB1AD57319B89CD8
1,\x128B4868FB0E6F684DF992,2,\x128B48BB1AD57319B89CD868FB0E6F684DF992
1,\x128B48352CCCFC0946B8F0,3,\x128B48BB1AD57319B89CD8352CCCFC0946B8F068FB0E6F684DF992
1,\x128B48552CF1E4A8AB85DD,4,\x128B48BB1AD57319B89CD8352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F7BED9D4B5F30868,5,\x128B48BB1AD57319B89CD8F7BED9D4B5F30868352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B480190E5722719B812,6,\x128B48BB1AD57319B89CD8F7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F6B55BBA28DA1B7E,7,\x128B48BB1AD57319B89CD8F6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F09B04B38DD7AEE4,8,\x128B48BB1AD57319B89CD8F09B04B38DD7AEE4F6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48F27B5DB0E9340CFC,9,\x128B48BB1AD57319B89CD8F09B04B38DD7AEE4F27B5DB0E9340CFCF6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B48EFE49DA97CB1C23B,10,\x128B48BB1AD57319B89CD8EFE49DA97CB1C23BF09B04B38DD7AEE4F27B5DB0E9340CFCF6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD68FB0E6F684DF992
1,\x128B4865AD3780E9F97898,11,\x128B48BB1AD57319B89CD8EFE49DA97CB1C23BF09B04B38DD7AEE4F27B5DB0E9340CFCF6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD65AD3780E9F9789868FB0E6F684DF992
1,\x128B4858F6F13D28CA7A36,12,\x128B48BB1AD57319B89CD8EFE49DA97CB1C23BF09B04B38DD7AEE4F27B5DB0E9340CFCF6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F0552CF1E4A8AB85DD58F6F13D28CA7A3665AD3780E9F9789868FB0E6F684DF992
1,\x128B484B4752645E76F39E,13,\x128B48BB1AD57319B89CD8EFE49DA97CB1C23BF09B04B38DD7AEE4F27B5DB0E9340CFCF6B55BBA28DA1B7EF7BED9D4B5F308680190E5722719B812352CCCFC0946B8F04B4752645E76F39E552CF1E4A8AB85DD58F6F13D28CA7A3665AD3780E9F9789868FB0E6F684DF992
