seed,pre_hash_long,post_hash_long
2147483647,3475270650314491794,-3696531339345168657
2147483647,2270991379979347231,3264963771496493983
2147483647,-1614084996196586490,-6166029909987667499
2147483647,8336107190894473033,7236286475599355830
2147483647,-1783836501116765729,-3725344001811547206
2147483647,-4776693766958442873,6846559105635589027
2147483647,1585957658595667533,3463831639022815073
2147483647,5363441817484042921,257248390031943270
2147483647,735288309103666086,-498911465692884294
2147483647,-4845437925228318859,-6157831264433958160
2147483647,1622417430311286869,-1728002436413306677
2147483647,5612744506800647866,7736831812970844041
2147483647,-4904196865423085294,-4550586704924515512
2147483647,-4283036302213613660,4389273113205958248
2147483647,6854428927621892691,2646065910956797282
2147483647,-7889033426576853168,1675700183054879874
2147483647,7609267195525655809,6079738953243378876
2147483647,5639582898743908002,7019715863650954180
2147483647,-2825979959566714257,-5726409494612216857
2147483647,5917125705134860630,-632998963323147016
2147483647,680340239326323591,8910988429919029273
2147483647,1461163354790034005,-346915272891464321
2147483647,6992223189773582149,-8694201958795859315
2147483647,-7244480259266885303,-1622597000437947516
2147483647,7415905872588821609,1059545477175572353
2147483647,-4965775846775124621,806352549488709691
2147483647,5358307146659318376,-1582896896243032323
2147483647,-2921270958620175941,-8509375053532818425
2147483647,-7505550339714435677,9008985077932361128
2147483647,5762145474911256072,-1210173220127807516
2147483647,-6623980368252521766,-4119237121441860750
2147483647,3539458836905320913,-9101209130551206388
2147483647,-7008688991718472221,-6692641849293045197
2147483647,-217475440604474380,4083700124811932182
2147483647,4399516415237074838,2225523138976327683
2147483647,-7791555276871681082,8685611214286362497
2147483647,-1249065337672274165,620922347290173832
2147483647,2010947164286293866,8625614492021518342
2147483647,-3983746718352924153,7075225871609097333
2147483647,2445057270153007974,-8933704550182718814
2147483647,-207135219591628622,7947663095504575898
2147483647,-6633125691855141005,-6595985998567681190
2147483647,5323840495266574478,-4226409370096463133
2147483647,-4987005879744123756,-7551092479997294528
2147483647,5678626900794067620,-5077535716801031720
2147483647,-4006834921742016407,-7502634757866263583
2147483647,-1469843190281211649,-878541628978544722
2147483647,7495307949460064708,-788281328042716890
2147483647,8381814542974811998,-538587618569930354
2147483647,-9179464057694309764,2196201275364552745
2147483647,-4901456210524151004,-2781113811613792127
2147483647,5543792253369559681,-4050076857635345204
2147483647,4336899898550699667,3699506434984303793
2147483647,-7209465029301483472,3578579431500558253
2147483647,5878027573324626745,3838071127426094478
2147483647,281130375825185257,-8897779866163435965
2147483647,-601128146759870551,-3912509326386757311
2147483647,-682736954125738787,3570535621682658681
2147483647,4611986874067287150,-3842188545865982746
2147483647,3041628524624170284,-5471767764120726898
2147483647,1168324295631942716,-3755027772873854152
2147483647,6769088872911905582,-2803091199446828503
2147483647,7256821224132567913,-6023238663479442459
2147483647,4170336389308797456,1732056296093097596
2147483647,6036935925562686107,690904618629317446
2147483647,-5234170890490684509,-8793982977177135457
2147483647,-9145729473938644799,2708164608757297578
2147483647,-5275820954868593296,3575605062558548700
2147483647,5620119595698489414,-1515144454260445446
2147483647,186383988687977231,5658501936085153637
2147483647,5431972957571244932,-6947442581006007300
2147483647,2522841501079800248,-1095174464674491804
2147483647,-4820001192579109770,7367594494538824038
2147483647,-1731499584229154534,-760399319752694664
2147483647,2033148680974807986,-6235741912508349758
2147483647,2614121250037486955,-6059232033885585123
2147483647,-5670000538417845611,9188011663670359240
2147483647,-7396622956704555328,4198527307796792515
2147483647,-6747871786925253441,-204610491069513245
2147483647,-4409150984518176355,-6383417197666677130
2147483647,3284785762221477057,-5123446522224235510
2147483647,-1127220455287567152,-2223895072555649618
2147483647,-7833098935495120875,7800904491474960708
2147483647,-5755484195525570438,4854878800466785105
2147483647,3557645804754716238,-1074598605365167530
2147483647,-2397606815650614675,4701430864403398269
2147483647,2510823671498155919,6972105678241109403
